"ASX code","Company name","Listing date","GICs industry group"
"BKI","BKI INVESTMENT COMPANY LIMITED","2003-12-12","Not Applic"
"BKL","BLACKMORES LIMITED","1985-05-02","Household & Personal Products"
"BKT","BLACK ROCK MINING LIMITED","2003-12-10","Materials"
"BKW","BRICKWORKS LIMITED","1962-06-30","Materials"
"BKY","BERKELEY ENERGIA LIMITED","2003-09-16","Energy"
"BLD","BORAL LIMITED.","2000-02-21","Materials"
"BLG","BLUGLASS LIMITED","2006-09-22","Semiconductors & Semiconductor Equipment"
"BLU","BLUE ENERGY LIMITED.","1994-10-13","Energy"
"BLX","BEACON LIGHTING GROUP LIMITED","2014-04-15","Retailing"
"BLY","BOART LONGYEAR LIMITED","2007-04-05","Materials"
"BLZ","BLAZE INTERNATIONAL LIMITED","1996-09-12","Energy"
"BMG","BMG RESOURCES LIMITED","2004-05-12","Materials"
"BMH","BAUMART HOLDINGS LIMITED","2015-06-19","Capital Goods"
"BMN","BANNERMAN RESOURCES LIMITED","2005-04-28","Energy"
"BNL","BLUE STAR HELIUM LIMITED","1994-11-24","Energy"
"BNO","BIONOMICS LIMITED","1999-12-21","Pharmaceuticals, Biotechnology & Life Sciences"
"BNR","BULLETIN RESOURCES LIMITED","2010-12-20","Materials"
"BNZ","BENZ MINING CORP.",,"Materials"
"BOA","BOADICEA RESOURCES LIMITED","2012-10-11","Materials"
"BOC","BOUGAINVILLE COPPER LIMITED","1970-12-31","Materials"
"BOE","BOSS ENERGY LTD","2007-07-25","Materials"
"BOL","BOOM LOGISTICS LIMITED","2003-10-14","Capital Goods"
"BOQ","BANK OF QUEENSLAND LIMITED.","1971-08-24","Banks"
"BOT","BOTANIX PHARMACEUTICALS LTD","1985-01-24","Pharmaceuticals, Biotechnology & Life Sciences"
"BPH","BPH ENERGY LTD","2004-08-06","Pharmaceuticals, Biotechnology & Life Sciences"
"BPM","BPM MINERALS LIMITED",,"Class Pend"
"BPP","BABYLON PUMP & POWER LIMITED","1996-12-13","Capital Goods"
"BPT","BEACH ENERGY LIMITED","1972-06-30","Energy"
"BRB","BREAKER RESOURCES NL","2012-04-20","Materials"
"BRG","BREVILLE GROUP LIMITED","1999-05-25","Consumer Durables & Apparel"
"BRI","BIG RIVER INDUSTRIES LIMITED","2017-05-01","Materials"
"BRK","BROOKSIDE ENERGY LIMITED","2005-10-31","Energy"
"BRL","BATHURST RESOURCES LIMITED.","2013-06-21","Materials"
"BRN","BRAINCHIP HOLDINGS LTD","2011-11-09","Software & Services"
"BRU","BURU ENERGY LIMITED","2008-09-01","Energy"
"BRV","BIG RIVER GOLD LTD","2004-02-06","Materials"
"BSA","BSA LIMITED","1999-11-15","Commercial & Professional Services"
"BSE","BASE RESOURCES LIMITED","2008-10-02","Materials"
"BSL","BLUESCOPE STEEL LIMITED","2002-07-15","Materials"
"BSM","BASS METALS LTD","2005-10-20","Materials"
"BSP","BLACK STAR PETROLEUM LIMITED","2011-07-05","Energy"
"BSR","BASSARI RESOURCES LIMITED","2008-01-07","Materials"
"BSX","BLACKSTONE MINERALS LIMITED","2017-01-23","Materials"
"BTC","BTC HEALTH LTD","2000-08-29","Not Applic"
"BTH","BIGTINCAN HOLDINGS LIMITED","2017-03-24","Software & Services"
"BTI","BAILADOR TECHNOLOGY INVESTMENTS LIMITED","2014-11-21","Diversified Financials"
"BTR","BRIGHTSTAR RESOURCES LIMITED","2003-12-05","Materials"
